,artist,song,duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,set(), Folk/Acoustic,hip hop,Dance/Electronic, jazz, metal,pop,R&B,latin,country,Folk/Acoustic, Dance/Electronic,World/Traditional, R&B,metal, hip hop, blues, classical, pop, country, easy listening,easy listening, latin,rock, rock,cat,cluster
45,50 Cent,21 Questions,0.30025919718924626,1.0,2003,0.8089887640449438,0.6111111111111112,0.8029869717190975,0.5454545454545454,0.8235991698784465,0.0,0.49891461649782926,0.3575693292327062,9.512690355329949e-05,0.025496091401082385,0.9165686169643813,0.21686379548106505,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6666666666666666,0
46,The Roots,The Seed (2.0),0.4174448869178167,1.0,2002,0.7078651685393258,0.7434988179669031,0.9555131871623769,0.6363636363636364,0.9009289455479791,1.0,0.022612156295224322,0.0399401299697699,0.0,0.13409500901984367,0.9925125681891112,0.3388007849793147,hip hop,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1111111111111111,5
47,Chingy,Holidae In,0.542643595781714,1.0,2003,0.6853932584269663,0.8049645390070923,0.7796843554708188,0.6363636363636364,0.7216622195869158,1.0,0.28545586107091175,0.09147802907598183,0.0,0.07492483463619964,0.9732591721039683,0.6168982709239419,"hip hop, pop, R&B",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.3333333333333333,3
48,Will Young,Leave Right Now,0.27410506916415645,0.0,2003,0.6179775280898876,0.6052009456264775,0.4131977544751615,0.5454545454545454,0.5850380472378693,1.0,0.024602026049204057,0.14854882391129004,0.0,0.10402886349969932,0.36891646165365277,0.14527421236872812,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6666666666666666,1
49,Britney Spears,Toxic,0.2311758714899258,0.0,2003,0.9101123595505618,0.7624113475177305,0.829467217455778,0.45454545454545453,0.8202391540666073,0.0,0.16425470332850942,0.02549312445490731,0.02538071065989848,0.2651834034876729,0.947587977323778,0.550420335207383,pop,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1
50,Kelis,Trick Me,0.25086084721376495,1.0,2003,0.7078651685393258,0.9940898345153665,0.7044804575786463,0.09090909090909091,0.8482557564976776,0.0,0.2275687409551375,0.03778844829734356,0.0003949238578680203,0.3662056524353578,0.9882340357257461,0.3126060782857749,"pop, R&B, Dance/Electronic",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2
51,Robbie Williams,Radio,0.32493951167465096,0.0,2004,0.3707865168539326,0.5650118203309693,0.8675987713165978,0.45454545454545453,0.7463682182033798,0.0,0.021164978292329963,0.0033717876417240994,0.050152284263959394,0.2868310282621768,0.8641565942881592,0.4640659806937519,"pop, rock",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2222222222222222,1
52,Kelis,Milkshake,0.18759733366384118,0.0,2003,0.7640449438202247,0.888888888888889,0.7616777883698761,0.09090909090909091,0.7138057120268801,1.0,0.03744573082489147,0.010082985239053883,0.03512690355329949,0.22188815393866507,0.771098513209969,0.351046197093455,"pop, R&B, Dance/Electronic",0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8888888888888888,2
53,Alicia Keys,Diary (feat. Tony! Toni! Tone! & Jermaine Paul),0.4611662256901597,0.0,2003,0.6179775280898876,0.6312056737588653,0.4343819510645059,0.7272727272727273,0.5337978061073229,0.0,0.015376266280752535,0.5686390551945285,0.0018578680203045685,0.12447384245339749,0.2576746176061611,0.45025591386443203,"pop, R&B",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.7777777777777778,1
54,JUVENILE,Slow Motion,0.3642771308326104,1.0,2003,0.7191011235955056,0.6903073286052009,0.7193093951911874,0.0,0.7718153967783378,0.0,0.5459479015918959,0.5614667829531074,0.0,0.056764882742032466,0.9112204513851749,0.7482032990346877,"hip hop, pop",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.2222222222222222,0
